IMPLEMENTED		COMMANDS:               TEXTPAD KEYS:

no				ActivateClipLib         Alt+0                   
no				ActivateSelector        Alt+1                      
no				BookmarkClearAll        Strg+Umschalt+F2             
no				BookmarkNext            F2                      
no				BookmarkPrev            Umschalt+F2             
no				BookmarkToggle          Strg+F2                                      
yes				CharLeft                Nach-links              
yes				CharLeftExtend          Umschalt+Nach-links     
yes				CharRight               Nach-rechts             
yes				CharRightExtend         Umschalt+Nach-rechts    
yes				DocumentEnd             Strg+Ende               
yes				DocumentEndExtend       Strg+Umschalt+Ende      
yes				DocumentStart           Strg+Pos1               
yes				DocumentStartExtend     Strg+Umschalt+Pos1      
no				EditAlignCenter         Strg+E                  
no				EditAlignRight          Strg+Umschalt+E         
yes				EditBackspace           Strg+H                  Rück                    Umschalt+Rück           
no				EditCapitalize          Strg+Umschalt+U         
yes				EditClearAll            Alt+Entf                
yes				EditCopy                Strg+C                  Strg+Einfg              
TODO			EditCopyAppend          Strg+Umschalt+C         
yes				EditCut                 Umschalt+Entf           Strg+X                  
TODO			EditCutAppend           Strg+Umschalt+X         
yes				EditDelete              Entf                    
yes				EditDelLineEnd          Strg+Umschalt+Entf      
yes				EditDelWordLeft         Strg+Rück               
yes				EditDelWordRight        Strg+Entf               
yes				EditIndentLess          Strg+Umschalt+I         
yes				EditIndentMore          Strg+I                  
no				EditInsertFile          Strg+Umschalt+V         
yes				EditInvertCase          Strg+K                  
yes				EditJoinLines           Strg+J
TODO			EditLowerCase           Strg+L                  
TODO			EditNewLineAfter        Strg+Eingabe            
TODO			EditNewLineBefore       Strg+Umschalt+Eingabe   
no				EditPageBreak           Strg+Umschalt+L         
yes				EditPaste               Strg+V                  Umschalt+Einfg          
no				EditPopupContext        Apps                    Umschalt+F10            
no				EditPopupDateTime       Strg+F10                
yes				EditRedo                Strg+Y                  
TODO			EditRedoAll             Strg+Umschalt+Y         
no				EditReformat            Strg+Umschalt+J         
no				EditSentenceCase        Strg+Umschalt+K         
no				EditSplitLines          Strg+Alt+J
TODO			EditTranspose           Strg+T                  
no				EditTransposeWords      Strg+Umschalt+T         
yes				EditUndo                Strg+Z                  
TODO			EditUndoAll             Strg+Umschalt+Z         
TODO			EditUpperCase           Strg+U                  
no				FileGoTo                Strg+Umschalt+G         
no				FileManage              F3                      
TODO			FileNew                 Strg+N                  
TODO			FileOpen                Strg+O                  
no				FilePrint               Strg+P                  
no				FilePrintPreview        Strg+Umschalt+P         
no				FileQuickOpen           Strg+Umschalt+O         
TODO			FileSave                Strg+S                  
TODO			FileSaveAll             Strg+Umschalt+S         
TODO			FileSaveAs              F12                     
no				FileStatistics          Strg+F1                 
no				Help                    F1                      
no				Java kompilieren        Strg+1                  
no				Java-Applet starten     Strg+3                  
no				Java-Programm starten   Strg+2                  
